r (cm)/ theta(deg),1.25,2.5,3.75,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,176.25,177.5,178.75
3,0.00251084,0.00188829,0.0015467,0.00124711,0.000923537,0.000726104,0.000622303,0.000597726,0.000534517,0.000500844,0.000478248,0.000461222,0.000439064,0.000424514,0.000434347,0.000411059,0.000400712,0.000398319,0.000404616,0.000395211,0,0.000411147,0.000395872,0.000405935,0.00040023,0.000420429,0.000421127,0.00041806,0.000445281,0.000456721,0.000487487,0.00051522,0.000523659,0.000563724,0.000633334,0.000723157,0.000918396,0.00133802,0.00166601,0.00194757,0.00257461
3.5,0.00279688,0.00180159,0.00152604,0.001307,0.000939635,0.000769129,0.000699086,0.00061065,0.000570432,0.000552051,0.000506414,0.000488053,0.000467999,0.000446249,0.000456331,0.000444917,0.000425757,0.000419838,0.000420736,0.00042889,0,0.000431448,0.000420966,0.000421892,0.000430418,0.00044773,0.000447705,0.000456862,0.00048019,0.000483543,0.00049958,0.000543749,0.000575644,0.000603273,0.000695222,0.00077751,0.000958804,0.00137781,0.00165247,0.00179904,0.00304307
4,0.00327846,0.00207019,0.00159544,0.00146269,0.000994378,0.000818756,0.000714958,0.000663887,0.000609214,0.000568517,0.000539061,0.000520804,0.00050731,0.000474324,0.000467615,0.000451856,0.00046392,0.000431112,0.000441683,0.000450967,0,0.00044981,0.000441087,0.000453383,0.000458853,0.000468669,0.000475516,0.000485426,0.000504607,0.000513917,0.000539854,0.000561755,0.000614445,0.000633294,0.000718556,0.000837907,0.00103077,0.00147627,0.00159531,0.00206421,0.00350978
4.5,0.00353792,0.00223104,0.00170867,0.00151445,0.0010409,0.000902971,0.00074887,0.000663048,0.000611587,0.0005909,0.000549271,0.000547907,0.000521296,0.000493495,0.00048456,0.000472062,0.000488377,0.000463423,0.000474378,0.00047478,0,0.000469242,0.000461669,0.000468316,0.000469862,0.000488173,0.000478686,0.00050461,0.000502123,0.000530187,0.000560023,0.000594496,0.000627148,0.000657058,0.000761521,0.000852756,0.00105993,0.00151807,0.00190454,0.00230247,0.00378834
5,0.00301023,0.002192,0.00182768,0.0015097,0.00110853,0.000883486,0.000772548,0.000700777,0.000668275,0.000604651,0.000586014,0.000562139,0.00054685,0.000528905,0.00051138,0.00047192,0.00050816,0.000495324,0.000496587,0.000491568,0,0.00049211,0.000489526,0.000481038,0.00048515,0.000497169,0.000501877,0.000521939,0.000545278,0.000566698,0.000580846,0.000614575,0.000659138,0.000693763,0.000765385,0.000898249,0.00109237,0.00164655,0.00179735,0.00219343,0.0030834
6,0.0023535,0.0017122,0.00148179,0.00117111,0.000836203,0.000674661,0.000595016,0.00055217,0.000501551,0.000462987,0.000449185,0.000435343,0.000425933,0.000401374,0.000399503,0.000392125,0.000378565,0.000369032,0.000379469,0.000372504,0,0.000387667,0.000376841,0.000375973,0.000380217,0.000381437,0.000396248,0.000402451,0.000416933,0.000425975,0.000454289,0.000483165,0.000514654,0.000539659,0.00060173,0.000688573,0.000863548,0.00111104,0.00154777,0.00181213,0.0023767
7,0.00274272,0.00173209,0.00145652,0.00130226,0.000888009,0.000707705,0.000628139,0.0005648,0.000545068,0.000494212,0.000462504,0.000452259,0.00043546,0.000428457,0.000419148,0.000411156,0.000406026,0.000393222,0.000379842,0.000402109,0,0.000395443,0.000399018,0.000393123,0.00041057,0.000410185,0.000413977,0.000420745,0.000456095,0.000469805,0.000477184,0.000496983,0.000535856,0.000561797,0.000643776,0.000763996,0.000904957,0.00118873,0.00143655,0.00167234,0.00271577
8,0.00293653,0.00194854,0.0015252,0.00135254,0.000979642,0.000774099,0.000649366,0.000604203,0.000569123,0.000539236,0.000505927,0.000484559,0.000471712,0.000438752,0.000448699,0.00043382,0.000441209,0.000424614,0.000412827,0.00042977,0,0.000411371,0.000409813,0.000420299,0.000432164,0.000437205,0.000444814,0.00044216,0.000470209,0.000493886,0.000489084,0.000528056,0.000583505,0.000596516,0.000684589,0.000807841,0.000949066,0.00136965,0.00152825,0.00185075,0.00298669
9,0.00341214,0.0020791,0.00168244,0.00140911,0.00100144,0.00081491,0.000732341,0.000642083,0.000595764,0.000567209,0.000525528,0.000528448,0.000492672,0.000466323,0.000477167,0.000454131,0.000457346,0.0004437,0.00044667,0.000464735,0,0.000449737,0.000450549,0.000449728,0.000462057,0.000468462,0.000463617,0.000470573,0.000505142,0.000506732,0.000525799,0.000549637,0.000599838,0.000642236,0.000736064,0.000841597,0.0010216,0.00145858,0.00169306,0.00209891,0.00338115
10,0.00270455,0.00202839,0.00169513,0.00144826,0.00105495,0.000824212,0.000728184,0.000669398,0.000619845,0.000611196,0.000547959,0.00054049,0.000511981,0.000493413,0.000482196,0.000470035,0.000499857,0.000465053,0.000470667,0.000475126,0,0.000462827,0.000469937,0.000457744,0.000483039,0.000476415,0.00049106,0.000498,0.000523125,0.000535986,0.000565221,0.000590221,0.000641035,0.000695095,0.000764006,0.000864508,0.00103039,0.00146435,0.00175594,0.00204524,0.00273131
